InventoryId,ScheduleId,CarrierCode,Dep_Key,FlightNumber,AircraftType,DepartureDate,DepartureDatetime,ArrivalDatetime,DepartureAirport,ArrivalAirport,TotalCapacity,TotalInventory,BookedInventory,Oversold,AvailableInventory,FirstClass,BusinessClass,PremiumEconomyClass,EconomyClass,FC_TotalInventory,FC_BookedInventory,FC_Oversold,FC_AvailableInventory,BC_TotalInventory,BC_BookedInventory,BC_Oversold,BC_AvailableInventory,PC_TotalInventory,PC_BookedInventory,PC_Oversold,PC_AvailableInventory,EC_TotalInventory,EC_BookedInventory,EC_Oversold,EC_AvailableInventory,FC_CD,BC_CD,PC_CD,EC_CD,canCancel,Status
INV-ZZ-6558820,SCH-ZZ-2729891,ZZ,ZZ20240407GOIMAA4516,4516.0,Airbus A320-200,04/07/2024,2024-04-07 06:48:00,2024-04-08 02:04:00,GOI,MAA,150.0,170,113,-37,57,15,30,45,60,17,11,4,6,36,24,6,12,51,34,11,17,70,47,13,23,"{'F': 3, 'P': 3}","{'C': 9, 'J': 1, 'Z': 2}","{'Q': 9, 'R': 6, 'S': 0, 'T': 0, 'H': 2, 'M': 0}","{'Y': 1, 'A': 4, 'B': 1, 'D': 0, 'E': 1, 'G': 2, 'I': 0, 'K': 4, 'L': 1, 'N': 2, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 2}",FALSE,On Time
INV-ZZ-6315776,SCH-ZZ-3820040,ZZ,ZZ20240407MAATRV2047,2047.0,Boeing 767,04/07/2024,2024-04-07 07:41:00,2024-04-08 02:50:00,MAA,TRV,278.0,308,182,-96,126,27,55,83,111,32,19,8,13,63,37,18,26,95,56,27,39,126,75,36,51,"{'F': 10, 'P': 3}","{'C': 12, 'J': 10, 'Z': 4}","{'Q': 19, 'R': 7, 'S': 0, 'T': 5, 'H': 8, 'M': 0}","{'Y': 4, 'A': 6, 'B': 3, 'D': 1, 'E': 3, 'G': 7, 'I': 0, 'K': 7, 'L': 3, 'N': 2, 'O': 4, 'U': 5, 'V': 2, 'W': 3, 'X': 1}",TRUE,On Time
INV-ZZ-2017253,SCH-ZZ-7068651,ZZ,ZZ20240407CCUHYD3723,3723.0,Boeing 787,04/07/2024,2024-04-07 16:19:00,2024-04-08 00:54:00,CCU,HYD,270.0,297,176,-94,121,27,54,81,108,30,18,9,12,60,36,18,24,94,56,25,38,127,75,33,52,"{'F': 7, 'P': 5}","{'C': 13, 'J': 4, 'Z': 7}","{'Q': 15, 'R': 10, 'S': 2, 'T': 2, 'H': 9, 'M': 0}","{'Y': 8, 'A': 6, 'B': 3, 'D': 0, 'E': 2, 'G': 5, 'I': 3, 'K': 8, 'L': 2, 'N': 1, 'O': 1, 'U': 6, 'V': 2, 'W': 1, 'X': 4}",TRUE,Cancelled
INV-ZZ-5183618,SCH-ZZ-6095474,ZZ,ZZ20240407HYDAMD3723,3723.0,Airbus A320 Neo,04/07/2024,2024-04-07 20:40:00,2024-04-08 12:24:00,HYD,AMD,180.0,201,123,-57,78,18,36,54,72,20,12,6,8,43,26,10,17,63,39,15,24,82,50,22,32,"{'F': 6, 'P': 2}","{'C': 6, 'J': 5, 'Z': 6}","{'Q': 8, 'R': 7, 'S': 0, 'T': 0, 'H': 8, 'M': 1}","{'Y': 5, 'A': 4, 'B': 2, 'D': 0, 'E': 2, 'G': 3, 'I': 1, 'K': 4, 'L': 3, 'N': 0, 'O': 0, 'U': 5, 'V': 1, 'W': 2, 'X': 0}",FALSE,On Time
INV-ZZ-4828758,SCH-ZZ-2404944,ZZ,ZZ20240407PNQGAU4614,4614.0,Airbus A320-200,04/07/2024,2024-04-07 23:31:00,2024-04-08 23:12:00,PNQ,GAU,150.0,177,116,-34,61,15,30,45,60,18,12,3,6,35,23,7,12,54,35,10,19,69,45,15,24,"{'F': 3, 'P': 3}","{'C': 9, 'J': 0, 'Z': 3}","{'Q': 9, 'R': 4, 'S': 2, 'T': 1, 'H': 3, 'M': 0}","{'Y': 1, 'A': 3, 'B': 2, 'D': 1, 'E': 2, 'G': 2, 'I': 2, 'K': 4, 'L': 1, 'N': 1, 'O': 0, 'U': 1, 'V': 0, 'W': 2, 'X': 2}",FALSE,On Time
INV-ZZ-2542418,SCH-ZZ-3750409,ZZ,ZZ20240408DELBOM4516,4516.0,Boeing 767,04/08/2024,2024-04-08 05:29:00,2024-04-08 15:51:00,DEL,BOM,278.0,323,191,-87,132,27,55,83,111,32,19,8,13,61,36,19,25,98,58,25,40,126,74,37,52,"{'F': 11, 'P': 2}","{'C': 12, 'J': 7, 'Z': 6}","{'Q': 19, 'R': 11, 'S': 1, 'T': 0, 'H': 9, 'M': 0}","{'Y': 7, 'A': 5, 'B': 2, 'D': 2, 'E': 1, 'G': 8, 'I': 3, 'K': 7, 'L': 2, 'N': 3, 'O': 3, 'U': 3, 'V': 3, 'W': 2, 'X': 1}",TRUE,Cancelled
INV-ZZ-7442576,SCH-ZZ-3820040,ZZ,ZZ20240408MAATRV2047,2047.0,Boeing 767,04/08/2024,2024-04-08 07:41:00,2024-04-09 02:50:00,MAA,TRV,278.0,315,207,-71,108,27,55,83,111,31,20,7,11,66,43,12,23,96,63,20,33,130,86,25,44,"{'F': 4, 'P': 7}","{'C': 13, 'J': 6, 'Z': 4}","{'Q': 14, 'R': 7, 'S': 0, 'T': 0, 'H': 12, 'M': 0}","{'Y': 8, 'A': 4, 'B': 0, 'D': 2, 'E': 2, 'G': 5, 'I': 1, 'K': 7, 'L': 1, 'N': 0, 'O': 3, 'U': 7, 'V': 3, 'W': 0, 'X': 1}",TRUE,On Time
INV-ZZ-6107518,SCH-ZZ-9117133,ZZ,ZZ20240408BLRCCU2504,2504.0,Boeing 777,04/08/2024,2024-04-08 15:35:00,2024-04-08 18:17:00,BLR,CCU,425.0,492,318,-107,174,42,85,127,170,48,31,11,17,95,61,24,34,146,94,33,52,189,122,48,67,"{'F': 12, 'P': 5}","{'C': 16, 'J': 11, 'Z': 7}","{'Q': 21, 'R': 12, 'S': 0, 'T': 2, 'H': 17, 'M': 0}","{'Y': 8, 'A': 11, 'B': 0, 'D': 1, 'E': 4, 'G': 9, 'I': 3, 'K': 9, 'L': 1, 'N': 1, 'O': 1, 'U': 10, 'V': 6, 'W': 0, 'X': 3}",FALSE,On Time
INV-ZZ-2471440,SCH-ZZ-6536717,ZZ,ZZ20240408GAUBOM2526,2526.0,Boeing 717,04/08/2024,2024-04-08 15:59:00,2024-04-09 05:45:00,GAU,BOM,100.0,118,76,-24,42,10,20,30,40,12,8,2,4,24,16,4,8,33,21,9,12,45,29,11,16,"{'F': 3, 'P': 1}","{'C': 6, 'J': 0, 'Z': 2}","{'Q': 6, 'R': 3, 'S': 0, 'T': 2, 'H': 0, 'M': 1}","{'Y': 1, 'A': 0, 'B': 2, 'D': 0, 'E': 0, 'G': 3, 'I': 1, 'K': 2, 'L': 0, 'N': 2, 'O': 0, 'U': 2, 'V': 1, 'W': 1, 'X': 1}",FALSE,On Time
INV-ZZ-1748690,SCH-ZZ-2693534,ZZ,ZZ20240408MAACJB4341,4341.0,Boeing 757,04/08/2024,2024-04-08 17:09:00,2024-04-08 22:11:00,MAA,CJB,209.0,235,156,-53,79,20,41,62,83,22,15,5,7,47,31,10,16,74,49,13,25,96,64,19,32,"{'F': 4, 'P': 3}","{'C': 7, 'J': 6, 'Z': 3}","{'Q': 16, 'R': 2, 'S': 3, 'T': 0, 'H': 2, 'M': 2}","{'Y': 5, 'A': 4, 'B': 0, 'D': 0, 'E': 2, 'G': 3, 'I': 0, 'K': 4, 'L': 3, 'N': 1, 'O': 1, 'U': 5, 'V': 0, 'W': 1, 'X': 3}",TRUE,On Time
INV-ZZ-6550612,SCH-ZZ-7589545,ZZ,ZZ20240409MAATRV2008,2008.0,Boeing 787,04/09/2024,2024-04-09 02:25:00,2024-04-09 21:44:00,MAA,TRV,270.0,314,196,-74,118,27,54,81,108,31,19,8,12,62,39,15,23,90,56,25,34,119,74,34,45,"{'F': 9, 'P': 3}","{'C': 12, 'J': 3, 'Z': 8}","{'Q': 14, 'R': 8, 'S': 1, 'T': 0, 'H': 9, 'M': 2}","{'Y': 5, 'A': 6, 'B': 3, 'D': 0, 'E': 2, 'G': 7, 'I': 3, 'K': 6, 'L': 1, 'N': 3, 'O': 1, 'U': 3, 'V': 2, 'W': 1, 'X': 2}",TRUE,Cancelled
INV-ZZ-1151782,SCH-ZZ-9117133,ZZ,ZZ20240409BLRCCU2504,2504.0,Boeing 777,04/09/2024,2024-04-09 15:35:00,2024-04-09 18:17:00,BLR,CCU,425.0,496,305,-120,191,42,85,127,170,46,28,14,18,100,62,23,38,141,87,40,54,192,118,52,74,"{'F': 6, 'P': 12}","{'C': 17, 'J': 12, 'Z': 9}","{'Q': 26, 'R': 14, 'S': 0, 'T': 4, 'H': 10, 'M': 0}","{'Y': 5, 'A': 10, 'B': 5, 'D': 2, 'E': 5, 'G': 9, 'I': 1, 'K': 12, 'L': 1, 'N': 5, 'O': 4, 'U': 9, 'V': 2, 'W': 1, 'X': 3}",TRUE,Cancelled
INV-ZZ-2239263,SCH-ZZ-6536717,ZZ,ZZ20240409GAUBOM2526,2526.0,Boeing 717,04/09/2024,2024-04-09 15:59:00,2024-04-10 05:45:00,GAU,BOM,100.0,118,72,-28,46,10,20,30,40,12,7,3,5,22,13,7,9,35,21,9,14,48,29,11,19,"{'F': 4, 'P': 1}","{'C': 5, 'J': 0, 'Z': 4}","{'Q': 6, 'R': 1, 'S': 1, 'T': 1, 'H': 5, 'M': 0}","{'Y': 2, 'A': 3, 'B': 1, 'D': 0, 'E': 0, 'G': 2, 'I': 1, 'K': 2, 'L': 2, 'N': 0, 'O': 2, 'U': 0, 'V': 1, 'W': 2, 'X': 1}",FALSE,On Time
INV-ZZ-7480391,SCH-ZZ-2404944,ZZ,ZZ20240409PNQGAU4614,4614.0,Airbus A320-200,04/09/2024,2024-04-09 23:31:00,2024-04-10 23:12:00,PNQ,GAU,150.0,167,96,-54,71,15,30,45,60,18,10,5,8,35,20,10,15,51,29,16,22,70,40,20,30,"{'F': 5, 'P': 3}","{'C': 4, 'J': 6, 'Z': 5}","{'Q': 10, 'R': 7, 'S': 0, 'T': 0, 'H': 5, 'M': 0}","{'Y': 4, 'A': 3, 'B': 2, 'D': 0, 'E': 1, 'G': 2, 'I': 2, 'K': 4, 'L': 2, 'N': 2, 'O': 0, 'U': 4, 'V': 1, 'W': 1, 'X': 2}",TRUE,Cancelled
INV-ZZ-9223256,SCH-ZZ-5041804,ZZ,ZZ20240409HYDCJB2880,2880.0,ATR 72,04/09/2024,2024-04-09 23:47:00,2024-04-10 13:44:00,HYD,CJB,72.0,80,50,-22,30,7,14,21,28,8,5,2,3,17,11,3,6,24,15,6,9,32,20,8,12,"{'F': 1, 'P': 2}","{'C': 4, 'J': 0, 'Z': 2}","{'Q': 3, 'R': 2, 'S': 1, 'T': 0, 'H': 3, 'M': 0}","{'Y': 1, 'A': 2, 'B': 0, 'D': 0, 'E': 1, 'G': 0, 'I': 1, 'K': 1, 'L': 1, 'N': 1, 'O': 1, 'U': 1, 'V': 1, 'W': 0, 'X': 1}",TRUE,On Time
INV-ZZ-7954823,SCH-ZZ-7589545,ZZ,ZZ20240410MAATRV2008,2008.0,Boeing 787,04/10/2024,2024-04-10 02:25:00,2024-04-10 21:44:00,MAA,TRV,270.0,316,184,-86,132,27,54,81,108,31,18,9,13,64,37,17,27,90,52,29,38,123,72,36,51,"{'F': 12, 'P': 1}","{'C': 11, 'J': 7, 'Z': 9}","{'Q': 14, 'R': 9, 'S': 1, 'T': 0, 'H': 10, 'M': 4}","{'Y': 8, 'A': 2, 'B': 4, 'D': 2, 'E': 2, 'G': 5, 'I': 4, 'K': 7, 'L': 1, 'N': 4, 'O': 2, 'U': 7, 'V': 0, 'W': 3, 'X': 0}",TRUE,Cancelled
INV-ZZ-4154672,SCH-ZZ-2729891,ZZ,ZZ20240410GOIMAA4516,4516.0,Airbus A320-200,04/10/2024,2024-04-10 06:48:00,2024-04-11 02:04:00,GOI,MAA,150.0,170,107,-43,63,15,30,45,60,17,11,4,6,35,22,8,13,54,34,11,20,66,41,19,25,"{'F': 5, 'P': 1}","{'C': 8, 'J': 3, 'Z': 2}","{'Q': 8, 'R': 4, 'S': 0, 'T': 3, 'H': 4, 'M': 1}","{'Y': 4, 'A': 2, 'B': 1, 'D': 0, 'E': 2, 'G': 2, 'I': 1, 'K': 4, 'L': 2, 'N': 2, 'O': 0, 'U': 3, 'V': 0, 'W': 1, 'X': 1}",FALSE,On Time
INV-ZZ-2312764,SCH-ZZ-9117133,ZZ,ZZ20240410BLRCCU2504,2504.0,Boeing 777,04/10/2024,2024-04-10 15:35:00,2024-04-10 18:17:00,BLR,CCU,425.0,504,298,-127,206,42,85,127,170,49,29,13,20,94,56,29,38,141,83,44,58,190,113,57,77,"{'F': 16, 'P': 4}","{'C': 17, 'J': 10, 'Z': 11}","{'Q': 31, 'R': 11, 'S': 2, 'T': 4, 'H': 10, 'M': 0}","{'Y': 10, 'A': 9, 'B': 5, 'D': 3, 'E': 4, 'G': 12, 'I': 1, 'K': 11, 'L': 3, 'N': 2, 'O': 2, 'U': 7, 'V': 2, 'W': 4, 'X': 2}",FALSE,On Time
INV-ZZ-9584146,SCH-ZZ-2312688,ZZ,ZZ20240410MAATRV4122,4122.0,Boeing 787,04/10/2024,2024-04-10 19:54:00,2024-04-11 02:05:00,MAA,TRV,270.0,322,196,-74,126,27,54,81,108,31,19,8,12,61,37,17,24,96,58,23,38,121,74,34,47,"{'F': 9, 'P': 3}","{'C': 11, 'J': 6, 'Z': 7}","{'Q': 15, 'R': 8, 'S': 0, 'T': 2, 'H': 12, 'M': 1}","{'Y': 5, 'A': 4, 'B': 1, 'D': 2, 'E': 3, 'G': 8, 'I': 3, 'K': 5, 'L': 3, 'N': 3, 'O': 2, 'U': 2, 'V': 0, 'W': 2, 'X': 4}",TRUE,On Time
INV-ZZ-8561943,SCH-ZZ-6095474,ZZ,ZZ20240410HYDAMD3723,3723.0,Airbus A320 Neo,04/10/2024,2024-04-10 20:40:00,2024-04-11 12:24:00,HYD,AMD,180.0,202,131,-49,71,18,36,54,72,21,14,4,7,43,28,8,15,64,41,13,23,82,53,19,29,"{'F': 5, 'P': 2}","{'C': 7, 'J': 0, 'Z': 8}","{'Q': 9, 'R': 6, 'S': 0, 'T': 0, 'H': 8, 'M': 0}","{'Y': 1, 'A': 3, 'B': 2, 'D': 0, 'E': 2, 'G': 5, 'I': 1, 'K': 5, 'L': 0, 'N': 1, 'O': 0, 'U': 3, 'V': 3, 'W': 1, 'X': 2}",TRUE,On Time
INV-ZZ-1586845,SCH-ZZ-6980436,ZZ,ZZ20240410BOMBLR3556,3556.0,Boeing 777,04/10/2024,2024-04-10 22:10:00,2024-04-11 05:46:00,BOM,BLR,425.0,472,296,-129,176,42,85,127,170,50,31,11,19,95,59,26,36,145,91,36,54,192,120,50,72,"{'F': 11, 'P': 8}","{'C': 20, 'J': 4, 'Z': 12}","{'Q': 22, 'R': 9, 'S': 3, 'T': 3, 'H': 12, 'M': 5}","{'Y': 8, 'A': 9, 'B': 2, 'D': 2, 'E': 1, 'G': 12, 'I': 1, 'K': 10, 'L': 3, 'N': 3, 'O': 5, 'U': 7, 'V': 3, 'W': 3, 'X': 3}",FALSE,On Time
INV-ZZ-5828272,SCH-ZZ-2404944,ZZ,ZZ20240410PNQGAU4614,4614.0,Airbus A320-200,04/10/2024,2024-04-10 23:31:00,2024-04-11 23:12:00,PNQ,GAU,150.0,177,116,-34,61,15,30,45,60,17,11,4,6,34,22,8,12,50,33,12,17,69,45,15,24,"{'F': 4, 'P': 2}","{'C': 7, 'J': 1, 'Z': 4}","{'Q': 10, 'R': 4, 'S': 0, 'T': 0, 'H': 2, 'M': 1}","{'Y': 4, 'A': 3, 'B': 2, 'D': 0, 'E': 1, 'G': 3, 'I': 1, 'K': 3, 'L': 0, 'N': 1, 'O': 2, 'U': 2, 'V': 0, 'W': 1, 'X': 1}",TRUE,On Time
INV-ZZ-4205297,SCH-ZZ-5041804,ZZ,ZZ20240410HYDCJB2880,2880.0,ATR 72,04/10/2024,2024-04-10 23:47:00,2024-04-11 13:44:00,HYD,CJB,72.0,84,52,-20,32,7,14,21,28,8,5,2,3,16,10,4,6,25,16,5,9,33,20,8,13,"{'F': 3, 'P': 0}","{'C': 5, 'J': 0, 'Z': 1}","{'Q': 4, 'R': 4, 'S': 0, 'T': 0, 'H': 1, 'M': 0}","{'Y': 1, 'A': 2, 'B': 1, 'D': 0, 'E': 1, 'G': 1, 'I': 1, 'K': 2, 'L': 0, 'N': 0, 'O': 1, 'U': 2, 'V': 0, 'W': 0, 'X': 1}",TRUE,On Time
INV-ZZ-7863792,SCH-ZZ-7589545,ZZ,ZZ20240411MAATRV2008,2008.0,Boeing 787,04/11/2024,2024-04-11 02:25:00,2024-04-11 21:44:00,MAA,TRV,270.0,298,180,-90,118,27,54,81,108,31,19,8,12,60,36,18,24,90,55,26,35,121,73,35,48,"{'F': 10, 'P': 2}","{'C': 9, 'J': 9, 'Z': 6}","{'Q': 16, 'R': 8, 'S': 1, 'T': 0, 'H': 10, 'M': 0}","{'Y': 6, 'A': 6, 'B': 2, 'D': 3, 'E': 3, 'G': 4, 'I': 4, 'K': 6, 'L': 1, 'N': 2, 'O': 3, 'U': 6, 'V': 1, 'W': 1, 'X': 0}",TRUE,On Time
INV-ZZ-2929384,SCH-ZZ-2729891,ZZ,ZZ20240411GOIMAA4516,4516.0,Airbus A320-200,04/11/2024,2024-04-11 06:48:00,2024-04-12 02:04:00,GOI,MAA,150.0,173,100,-50,73,15,30,45,60,17,10,5,7,34,20,10,14,50,29,16,21,71,41,19,30,"{'F': 6, 'P': 1}","{'C': 7, 'J': 1, 'Z': 6}","{'Q': 10, 'R': 5, 'S': 0, 'T': 1, 'H': 3, 'M': 2}","{'Y': 3, 'A': 4, 'B': 2, 'D': 1, 'E': 1, 'G': 2, 'I': 2, 'K': 4, 'L': 2, 'N': 2, 'O': 0, 'U': 1, 'V': 2, 'W': 2, 'X': 2}",FALSE,On Time
INV-ZZ-3345831,SCH-ZZ-9117133,ZZ,ZZ20240411BLRCCU2504,2504.0,Boeing 777,04/11/2024,2024-04-11 15:35:00,2024-04-11 18:17:00,BLR,CCU,425.0,473,310,-115,163,42,85,127,170,49,32,10,17,97,64,21,33,151,99,28,52,197,129,41,68,"{'F': 13, 'P': 4}","{'C': 14, 'J': 17, 'Z': 2}","{'Q': 24, 'R': 11, 'S': 0, 'T': 2, 'H': 15, 'M': 0}","{'Y': 10, 'A': 10, 'B': 0, 'D': 4, 'E': 0, 'G': 7, 'I': 2, 'K': 8, 'L': 4, 'N': 3, 'O': 2, 'U': 10, 'V': 3, 'W': 4, 'X': 1}",TRUE,On Time
INV-ZZ-4864835,SCH-ZZ-7068651,ZZ,ZZ20240411CCUHYD3723,3723.0,Boeing 787,04/11/2024,2024-04-11 16:19:00,2024-04-12 00:54:00,CCU,HYD,270.0,317,187,-83,130,27,54,81,108,32,19,8,13,64,38,16,26,90,53,28,37,121,71,37,50,"{'F': 8, 'P': 5}","{'C': 14, 'J': 8, 'Z': 4}","{'Q': 19, 'R': 11, 'S': 1, 'T': 0, 'H': 6, 'M': 0}","{'Y': 5, 'A': 4, 'B': 3, 'D': 2, 'E': 1, 'G': 4, 'I': 3, 'K': 6, 'L': 2, 'N': 3, 'O': 3, 'U': 3, 'V': 4, 'W': 4, 'X': 3}",TRUE,On Time
