InventoryId,ScheduleId,FlightNumber,AircraftType,DepartureDate,ArrivalDate,DepartureAirport,ArrivalAirport,TotalCapacity,TotalInventory,BookedInventory,Oversold,AvailableInventory,FirstClass,BusinessClass,PremiumEconomyClass,EconomyClass,FC_TotalInventory,FC_BookedInventory,FC_Oversold,FC_AvailableInventory,BC_TotalInventory,BC_BookedInventory,BC_Oversold,BC_AvailableInventory,PC_TotalInventory,PC_BookedInventory,PC_Oversold,PC_AvailableInventory,EC_TotalInventory,EC_BookedInventory,EC_Oversold,EC_AvailableInventory,FC_CD,BC_CD,PC_CD,EC_CD
INV-ZZ-5391474,SCH-ZZ-7283355,3417,Boeing 787,06/29/2024,06/29/2024,CNN,MAA,270,300,107,-163,193,27,54,81,108,30,11,16,19,64,23,31,41,91,32,49,59,120,43,65,77,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-8820852,SCH-ZZ-7283355,3417,Boeing 787,06/30/2024,06/30/2024,CNN,MAA,270,299,111,-159,188,27,54,81,108,30,11,16,19,60,22,32,38,96,36,45,60,128,47,61,81,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-7070488,SCH-ZZ-7283355,3417,Boeing 787,07/06/2024,07/06/2024,CNN,MAA,270,318,114,-156,204,27,54,81,108,31,11,16,20,65,23,31,42,90,32,49,58,120,43,65,77,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-7396098,SCH-ZZ-7283355,3417,Boeing 787,07/07/2024,07/07/2024,CNN,MAA,270,300,114,-156,186,27,54,81,108,30,11,16,19,64,24,30,40,94,36,45,58,122,46,62,76,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-2962005,SCH-ZZ-7283355,3417,Boeing 787,07/13/2024,07/13/2024,CNN,MAA,270,318,115,-155,203,27,54,81,108,31,11,16,20,62,22,32,40,93,34,47,59,129,47,61,82,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-2735784,SCH-ZZ-7283355,3417,Boeing 787,07/14/2024,07/14/2024,CNN,MAA,270,323,109,-161,214,27,54,81,108,30,10,17,20,60,20,34,40,93,31,50,62,122,41,67,81,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-1671415,SCH-ZZ-7283355,3417,Boeing 787,07/20/2024,07/20/2024,CNN,MAA,270,302,93,-177,209,27,54,81,108,30,9,18,21,61,19,35,42,90,28,53,62,119,36,72,83,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-3652962,SCH-ZZ-7283355,3417,Boeing 787,07/21/2024,07/21/2024,CNN,MAA,270,313,110,-160,203,27,54,81,108,31,11,16,20,63,22,32,41,92,32,49,60,124,43,65,81,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-2937163,SCH-ZZ-7283355,3417,Boeing 787,07/27/2024,07/27/2024,CNN,MAA,270,316,90,-180,226,27,54,81,108,32,9,18,23,64,18,36,46,95,27,54,68,124,35,73,89,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-1350452,SCH-ZZ-7283355,3417,Boeing 787,07/28/2024,07/28/2024,CNN,MAA,270,297,93,-177,204,27,54,81,108,32,10,17,22,65,20,34,45,90,28,53,62,123,39,69,84,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-3541111,SCH-ZZ-7283355,3417,Boeing 787,08/03/2024,08/03/2024,CNN,MAA,270,318,95,-175,223,27,54,81,108,32,10,17,22,60,18,36,42,93,28,53,65,127,38,70,89,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-4570768,SCH-ZZ-7283355,3417,Boeing 787,08/04/2024,08/04/2024,CNN,MAA,270,304,83,-187,221,27,54,81,108,30,8,19,22,63,17,37,46,92,25,56,67,123,33,75,90,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-9069594,SCH-ZZ-7283355,3417,Boeing 787,08/10/2024,08/10/2024,CNN,MAA,270,315,88,-182,227,27,54,81,108,31,9,18,22,60,17,37,43,92,26,55,66,125,35,73,90,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-4319174,SCH-ZZ-7283355,3417,Boeing 787,08/11/2024,08/11/2024,CNN,MAA,270,310,87,-183,223,27,54,81,108,30,8,19,22,63,18,36,45,91,25,56,66,120,34,74,86,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-8429501,SCH-ZZ-7283355,3417,Boeing 787,08/17/2024,08/17/2024,CNN,MAA,270,298,74,-196,224,27,54,81,108,32,8,19,24,62,15,39,47,96,24,57,72,122,30,78,92,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-7155087,SCH-ZZ-7283355,3417,Boeing 787,08/18/2024,08/18/2024,CNN,MAA,270,319,86,-184,233,27,54,81,108,32,9,18,23,65,17,37,48,93,25,56,68,129,35,73,94,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-4243562,SCH-ZZ-7283355,3417,Boeing 787,08/24/2024,08/24/2024,CNN,MAA,270,305,75,-195,230,27,54,81,108,31,8,19,23,64,16,38,48,92,23,58,69,122,30,78,92,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 24, 'R': 16, 'S': 8, 'T': 8, 'H': 16, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-4381149,SCH-ZZ-8305184,3083,Airbus A320 Neo,08/23/2024,08/23/2024,CCJ,MAA,180,202,50,-130,152,18,36,54,72,20,5,13,15,43,11,25,32,62,15,39,47,84,21,51,63,"{'F': 11, 'P': 7}","{'C': 14, 'J': 11, 'Z': 11}","{'Q': 16, 'R': 11, 'S': 5, 'T': 5, 'H': 11, 'M': 5}","{'Y': 5, 'A': 5, 'B': 3, 'D': 3, 'E': 3, 'G': 5, 'I': 3, 'K': 5, 'L': 3, 'N': 3, 'O': 3, 'U': 5, 'V': 3, 'W': 3, 'X': 3}"
INV-ZZ-8169821,SCH-ZZ-8305184,3083,Airbus A320 Neo,08/24/2024,08/24/2024,CCJ,MAA,180,207,51,-129,156,18,36,54,72,22,5,13,17,42,10,26,32,64,16,38,48,81,20,52,61,"{'F': 11, 'P': 7}","{'C': 14, 'J': 11, 'Z': 11}","{'Q': 16, 'R': 11, 'S': 5, 'T': 5, 'H': 11, 'M': 5}","{'Y': 5, 'A': 5, 'B': 3, 'D': 3, 'E': 3, 'G': 5, 'I': 3, 'K': 5, 'L': 3, 'N': 3, 'O': 3, 'U': 5, 'V': 3, 'W': 3, 'X': 3}"
INV-ZZ-1469162,SCH-ZZ-8305184,3083,Airbus A320 Neo,08/26/2024,08/26/2024,CCJ,MAA,180,212,53,-127,159,18,36,54,72,21,5,13,16,42,10,26,32,64,16,38,48,84,21,51,63,"{'F': 11, 'P': 7}","{'C': 14, 'J': 11, 'Z': 11}","{'Q': 16, 'R': 11, 'S': 5, 'T': 5, 'H': 11, 'M': 5}","{'Y': 5, 'A': 5, 'B': 3, 'D': 3, 'E': 3, 'G': 5, 'I': 3, 'K': 5, 'L': 3, 'N': 3, 'O': 3, 'U': 5, 'V': 3, 'W': 3, 'X': 3}"
INV-ZZ-4397065,SCH-ZZ-8305184,3083,Airbus A320 Neo,08/27/2024,08/27/2024,CCJ,MAA,180,201,43,-137,158,18,36,54,72,20,4,14,16,41,9,27,32,60,13,41,47,81,17,55,64,"{'F': 11, 'P': 7}","{'C': 14, 'J': 11, 'Z': 11}","{'Q': 16, 'R': 11, 'S': 5, 'T': 5, 'H': 11, 'M': 5}","{'Y': 5, 'A': 5, 'B': 3, 'D': 3, 'E': 3, 'G': 5, 'I': 3, 'K': 5, 'L': 3, 'N': 3, 'O': 3, 'U': 5, 'V': 3, 'W': 3, 'X': 3}"
INV-ZZ-5260106,SCH-ZZ-7310425,2943,Boeing 767,08/18/2024,08/18/2024,AMD,HYD,278,324,77,-201,247,27,55,83,111,31,7,20,24,65,16,39,49,96,23,60,73,130,31,80,99,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 25, 'R': 17, 'S': 8, 'T': 8, 'H': 17, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-4064097,SCH-ZZ-7310425,2943,Boeing 767,08/20/2024,08/20/2024,AMD,HYD,278,318,75,-203,243,27,55,83,111,31,7,20,24,62,15,40,47,95,22,61,73,127,30,81,97,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 25, 'R': 17, 'S': 8, 'T': 8, 'H': 17, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-8979375,SCH-ZZ-7310425,2943,Boeing 767,08/22/2024,08/22/2024,AMD,HYD,278,314,78,-200,236,27,55,83,111,31,8,19,23,63,16,39,47,93,23,60,70,129,32,79,97,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 25, 'R': 17, 'S': 8, 'T': 8, 'H': 17, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-8633808,SCH-ZZ-7310425,2943,Boeing 767,08/23/2024,08/23/2024,AMD,HYD,278,329,73,-205,256,27,55,83,111,31,7,20,24,61,14,41,47,98,22,61,76,126,28,83,98,"{'F': 16, 'P': 11}","{'C': 22, 'J': 16, 'Z': 16}","{'Q': 25, 'R': 17, 'S': 8, 'T': 8, 'H': 17, 'M': 8}","{'Y': 8, 'A': 8, 'B': 4, 'D': 4, 'E': 4, 'G': 8, 'I': 4, 'K': 8, 'L': 4, 'N': 4, 'O': 4, 'U': 8, 'V': 4, 'W': 4, 'X': 4}"
INV-ZZ-1682061,SCH-ZZ-3126325,4211,ATR 72,01/11/2024,01/11/2024,GOI,DEL,72,82,70,-2,12,7,14,21,28,8,7,0,1,16,14,0,2,25,21,0,4,32,27,1,5,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-2831256,SCH-ZZ-3126325,4211,ATR 72,01/12/2024,01/12/2024,GOI,DEL,72,81,69,-3,12,7,14,21,28,8,7,0,1,16,14,0,2,23,20,1,3,32,27,1,5,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-3042075,SCH-ZZ-3126325,4211,ATR 72,01/13/2024,01/13/2024,GOI,DEL,72,83,72,0,11,7,14,21,28,8,7,0,1,16,14,0,2,25,22,-1,3,31,27,1,4,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-1450617,SCH-ZZ-3126325,4211,ATR 72,01/14/2024,01/14/2024,GOI,DEL,72,84,71,-1,13,7,14,21,28,8,7,0,1,16,13,1,3,24,20,1,4,33,28,0,5,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-6512117,SCH-ZZ-3126325,4211,ATR 72,01/16/2024,01/16/2024,GOI,DEL,72,85,67,-5,18,7,14,21,28,8,6,1,2,16,13,1,3,24,19,2,5,33,26,2,7,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-4969789,SCH-ZZ-3126325,4211,ATR 72,01/18/2024,01/18/2024,GOI,DEL,72,83,65,-7,18,7,14,21,28,8,6,1,2,16,13,1,3,24,19,2,5,34,27,1,7,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-3584384,SCH-ZZ-3126325,4211,ATR 72,01/19/2024,01/19/2024,GOI,DEL,72,80,62,-10,18,7,14,21,28,8,6,1,2,17,13,1,4,24,18,3,6,33,25,3,8,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-7382465,SCH-ZZ-3126325,4211,ATR 72,01/20/2024,01/20/2024,GOI,DEL,72,82,62,-10,20,7,14,21,28,8,6,1,2,17,13,1,4,24,18,3,6,31,24,4,7,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
INV-ZZ-7663306,SCH-ZZ-3126325,4211,ATR 72,01/21/2024,01/21/2024,GOI,DEL,72,81,68,-4,13,7,14,21,28,8,7,0,1,16,13,1,3,24,20,1,4,33,28,0,5,"{'F': 4, 'P': 3}","{'C': 6, 'J': 4, 'Z': 4}","{'Q': 6, 'R': 4, 'S': 2, 'T': 2, 'H': 4, 'M': 2}","{'Y': 2, 'A': 2, 'B': 1, 'D': 1, 'E': 1, 'G': 2, 'I': 1, 'K': 2, 'L': 1, 'N': 1, 'O': 1, 'U': 2, 'V': 1, 'W': 1, 'X': 1}"
