RECLOC,COS_CD,SEG_SEQ,PAX_CNT,ORIG_CD,DEST_CD,DEP_DTML,ARR_DTML,INV_ID,DEP_DTMZ,ARR_DTMZ
PNR00027,Q,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00028,Q,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00029,Q,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00030,Q,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00031,Q,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00032,R,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00033,R,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00034,R,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00035,R,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00036,R,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00037,S,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00038,S,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00039,S,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00040,S,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00041,T,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00042,T,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00043,T,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00044,H,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00045,H,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00046,H,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00047,H,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00048,H,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00049,M,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00050,M,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00051,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00052,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00053,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00054,Y,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00055,A,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00056,A,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00057,A,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00058,A,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00059,B,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00060,D,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00061,E,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00062,I,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00063,L,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00064,G,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00065,G,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00066,G,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00067,G,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00068,K,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00069,K,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00070,K,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00071,K,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00072,U,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00073,U,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00074,U,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00075,U,1,1,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00076,N,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00077,O,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00078,O,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00079,V,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00080,W,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00081,X,1,3,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00082,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00083,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00084,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00085,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00086,Y,1,2,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00087,Y,1,4,CNN,MAA,2023-12-06 04:37:00,2023-12-06 12:50:00,INV-ZZ-4889368,,
PNR00088,F,1,4,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00089,F,1,4,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00090,F,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00091,F,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00092,P,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00093,P,1,4,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00094,P,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00095,C,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00096,C,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00097,C,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00098,C,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00099,C,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00100,C,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00101,J,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00102,J,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00103,J,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00104,J,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00105,J,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00106,J,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00107,Z,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00108,Z,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00109,Z,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00110,Z,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00111,Z,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00112,Q,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00113,Q,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00114,Q,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00115,Q,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00116,Q,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00117,Q,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00118,Q,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00119,R,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00120,R,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00121,R,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00122,R,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00123,R,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00124,S,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00125,S,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00126,S,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00127,S,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00128,T,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00129,T,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00130,T,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00131,H,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00132,H,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00133,H,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00134,H,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00135,H,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00136,M,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00137,M,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00138,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00139,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00140,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00141,Y,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00142,A,1,4,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00143,A,1,4,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00144,A,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00145,A,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00146,B,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00147,D,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00148,E,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00149,I,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00150,L,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00151,G,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00152,G,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00153,G,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00154,G,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00155,K,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00156,K,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00157,K,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00158,K,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00159,U,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00160,U,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00161,U,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00162,U,1,1,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00163,N,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00164,O,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00165,O,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00166,V,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00167,W,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00168,X,1,3,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00169,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00170,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00171,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00172,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00173,Y,1,2,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00174,Y,1,4,CJB,HYD,2023-12-06 06:47:00,2023-12-06 14:05:00,INV-ZZ-3590805,,
PNR00175,F,1,4,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00176,F,1,4,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00177,F,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00178,F,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00179,P,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00180,P,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00181,P,1,1,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00182,C,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00183,C,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00184,C,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00185,C,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00186,C,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00187,C,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00188,J,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00189,J,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00190,J,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00191,J,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00192,J,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00193,J,1,1,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00194,Z,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00195,Z,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00196,Z,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00197,Z,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00198,Z,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00199,Q,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00200,Q,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00201,Q,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00202,Q,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00203,Q,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00204,Q,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00205,Q,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00206,R,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00207,R,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00208,R,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00209,R,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00210,R,1,1,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00211,S,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00212,S,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00213,S,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00214,S,1,1,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00215,T,1,1,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00216,T,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00217,T,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00218,H,1,3,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00219,H,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00220,H,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00221,H,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00222,H,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00223,M,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00224,M,1,1,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00225,Y,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00226,Y,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00227,Y,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00228,Y,1,1,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
PNR00229,A,1,2,CNN,MAA,2023-12-07 04:37:00,2023-12-07 12:50:00,INV-ZZ-1373383,,
